timestamp	userId	username	instanceId	activityId	activityTitle	activityType	plane	type	itemId	value	payload
Thu, 12 Dec 2019 12:46:00 GMT		14	Yv9MA2mad8oRkfLKM	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0	
Thu, 12 Dec 2019 12:46:00 GMT		17	iSXfJDZ4btqYb8X5i	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0	
Thu, 12 Dec 2019 12:46:00 GMT		12	MCAyeq9jrNSteH4LP	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0	
Thu, 12 Dec 2019 12:46:00 GMT		10	RbBQv7qMZ843Z32hc	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0	
Thu, 12 Dec 2019 12:46:01 GMT		Timoté Vaucher	pZikgPmceJMjmvxwj	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0	
Thu, 12 Dec 2019 12:46:01 GMT		Timoté Vaucher	pZikgPmceJMjmvxwj	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0	
Thu, 12 Dec 2019 12:46:01 GMT		Timoté Vaucher	pZikgPmceJMjmvxwj	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0	
Thu, 12 Dec 2019 12:46:07 GMT		11	9EAfwFmmpqWyaR9tt	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	activityDidMount			
Thu, 12 Dec 2019 12:46:08 GMT		20	bAhsRdCdhbdmSA3Xi	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	start	https://youtu.be/iWAdVB80liY		
Thu, 12 Dec 2019 12:46:08 GMT		20	bAhsRdCdhbdmSA3Xi	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	play	https://youtu.be/iWAdVB80liY		
Thu, 12 Dec 2019 12:46:08 GMT		20	bAhsRdCdhbdmSA3Xi	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0.00020307494351526277	
Thu, 12 Dec 2019 12:46:09 GMT		11	9EAfwFmmpqWyaR9tt	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0	
Thu, 12 Dec 2019 12:46:09 GMT		19	5XNsb4uGwzfMTju6k	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	start	https://youtu.be/sK-ObestpxU		
Thu, 12 Dec 2019 12:46:09 GMT		19	5XNsb4uGwzfMTju6k	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	play	https://youtu.be/sK-ObestpxU		
Thu, 12 Dec 2019 12:46:09 GMT		19	5XNsb4uGwzfMTju6k	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0.00020732979137981825	
Thu, 12 Dec 2019 12:46:09 GMT		20	bAhsRdCdhbdmSA3Xi	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0.004093708163704907	
Thu, 12 Dec 2019 12:46:09 GMT		12	MCAyeq9jrNSteH4LP	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	start	https://youtu.be/lRNYxx9YaD8		
Thu, 12 Dec 2019 12:46:09 GMT		12	MCAyeq9jrNSteH4LP	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	play	https://youtu.be/lRNYxx9YaD8		
Thu, 12 Dec 2019 12:46:09 GMT		22	5WhF9JRKgzSnh2Pmg	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	start	https://youtu.be/lRNYxx9YaD8		
Thu, 12 Dec 2019 12:46:09 GMT		22	5WhF9JRKgzSnh2Pmg	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	play	https://youtu.be/lRNYxx9YaD8		
Thu, 12 Dec 2019 12:46:09 GMT		12	MCAyeq9jrNSteH4LP	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.0006623162517050259	
Thu, 12 Dec 2019 12:46:10 GMT		19	5XNsb4uGwzfMTju6k	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0.005691297388593108	
Thu, 12 Dec 2019 12:46:10 GMT		20	bAhsRdCdhbdmSA3Xi	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0.00790852539362619	
Thu, 12 Dec 2019 12:46:10 GMT		22	5WhF9JRKgzSnh2Pmg	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.004566151964729455	
Thu, 12 Dec 2019 12:46:10 GMT		12	MCAyeq9jrNSteH4LP	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.004900104128934069	
Thu, 12 Dec 2019 12:46:11 GMT		19	5XNsb4uGwzfMTju6k	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0.01125748197155249	
Thu, 12 Dec 2019 12:46:11 GMT		20	bAhsRdCdhbdmSA3Xi	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0.011769946803352986	
Thu, 12 Dec 2019 12:46:11 GMT		22	5WhF9JRKgzSnh2Pmg	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.00958199652525354	
Thu, 12 Dec 2019 12:46:11 GMT		12	MCAyeq9jrNSteH4LP	ck42p0tul000701yw389bfro3	Video Class char	ac-video	1	videoProgress	https://youtu.be/lRNYxx9YaD8	0.009881732674503941	
Thu, 12 Dec 2019 12:46:12 GMT		19	5XNsb4uGwzfMTju6k	ck42p0tul000501yw5bwi1dgi	Video Quantificateur	ac-video	1	videoProgress	https://youtu.be/sK-ObestpxU	0.01670742924953603	
Thu, 12 Dec 2019 12:46:12 GMT		20	bAhsRdCdhbdmSA3Xi	ck42p0tul000601yw895m5lc8	Video Gr Alternative	ac-video	1	videoProgress	https://youtu.be/iWAdVB80liY	0.015609294742355635	
